confidence,precision,recall,fp,tp,fn
0.0,0.06302131603336422,0.9336384439359268,6066,408,29
0.02,0.06302131603336422,0.9336384439359268,6066,408,29
0.04,0.06302131603336422,0.9336384439359268,6066,408,29
0.06,0.06302131603336422,0.9336384439359268,6066,408,29
0.08,0.06302131603336422,0.9336384439359268,6066,408,29
0.1,0.06302131603336422,0.9336384439359268,6066,408,29
0.12,0.06302131603336422,0.9336384439359268,6066,408,29
0.14,0.06302131603336422,0.9336384439359268,6066,408,29
0.16,0.06302131603336422,0.9336384439359268,6066,408,29
0.18,0.06308953146745012,0.9336384439359268,6059,408,29
0.2,0.06352171882297991,0.9336384439359268,6015,408,29
0.22,0.06624348958333333,0.9334862385321101,5737,407,29
0.24,0.07175680452456698,0.9290617848970252,5252,406,31
0.26,0.08411801632140616,0.919908466819222,4377,402,35
0.28,0.10020040080160321,0.9111617312072893,3592,400,39
0.3,0.1229712858926342,0.89749430523918,2810,394,45
0.32,0.15290880503144655,0.8861047835990888,2155,389,50
0.34,0.18670576735092864,0.8681818181818182,1664,382,58
0.36,0.2104670793472144,0.85,1403,374,66
0.38,0.24742268041237114,0.8144796380090498,1095,360,82
0.4,0.27215686274509804,0.7850678733031674,928,347,95
0.42,0.2809642560266002,0.7595505617977528,865,338,107
0.44,0.2918572735590119,0.7200902934537246,774,319,124
0.46,0.2961165048543689,0.6884875846501128,725,305,138
0.48,0.3004073319755601,0.6659142212189616,687,295,148
0.5,0.3067552602436323,0.6295454545454545,626,277,163
0.52,0.31271878646441076,0.6063348416289592,589,268,174
0.54,0.3284182305630027,0.5632183908045977,501,245,190
0.56,0.3170028818443804,0.5128205128205128,474,220,209
0.58,0.3338632750397456,0.48498845265588914,419,210,223
0.6,0.33500837520938026,0.45871559633027525,397,200,236
0.62,0.3326732673267327,0.38443935926773454,337,168,269
0.64,0.3410526315789474,0.3673469387755102,313,162,279
0.66,0.35071090047393366,0.33109619686800895,274,148,299
0.68,0.34196891191709844,0.2986425339366516,254,132,310
0.7000000000000001,0.3547486033519553,0.28929384965831434,231,127,312
0.72,0.3620689655172414,0.23972602739726026,185,105,333
0.74,0.3686274509803922,0.214123006833713,161,94,345
0.76,0.36637931034482757,0.1927437641723356,147,85,356
0.78,0.3627450980392157,0.167420814479638,130,74,368
0.8,0.37222222222222223,0.1515837104072398,113,67,375
0.8200000000000001,0.3674698795180723,0.13800904977375567,105,61,381
0.84,0.3819444444444444,0.1252847380410023,89,55,384
0.86,0.4,0.11389521640091116,75,50,389
0.88,0.37735849056603776,0.09174311926605505,66,40,396
0.9,0.3645833333333333,0.08045977011494253,61,35,400
0.92,0.35365853658536583,0.06682027649769585,53,29,405
0.9400000000000001,0.38235294117647056,0.05963302752293578,42,26,410
0.96,0.38333333333333336,0.05239179954441914,37,23,416
0.98,0.3584905660377358,0.04357798165137615,34,19,417
