confidence,precision,recall,fp,tp,fn
0.0,0.07923191648023863,0.9792626728110599,4939,425,9
0.02,0.07923191648023863,0.9792626728110599,4939,425,9
0.04,0.07970742685671418,0.9792626728110599,4907,425,9
0.06,0.09165408669398317,0.9770114942528736,4212,425,10
0.08,0.11815642458100559,0.976905311778291,3157,423,10
0.1,0.16082317073170732,0.9701149425287356,2202,422,13
0.12,0.21078921078921078,0.9612756264236902,1580,422,17
0.14,0.22756756756756757,0.958997722095672,1429,421,18
0.16,0.24444444444444444,0.9521640091116174,1292,418,21
0.18,0.2577639751552795,0.9431818181818182,1195,415,25
0.2,0.26568501920614596,0.9410430839002267,1147,415,26
0.22,0.293408929836995,0.9409090909090909,997,414,26
0.24,0.3006583760058522,0.9362186788154897,956,411,28
0.26,0.3330618892508143,0.9253393665158371,819,409,33
0.28,0.3406223717409588,0.9183673469387755,784,405,36
0.3,0.36578707916287534,0.90744920993228,697,402,41
0.32,0.3824091778202677,0.9049773755656109,646,400,42
0.34,0.39190523198420535,0.8941441441441441,616,397,47
0.36,0.43318485523385303,0.8663697104677061,509,389,60
0.38,0.44202066590126293,0.8555555555555555,486,385,65
0.4,0.4569377990430622,0.8451327433628318,454,382,70
0.42,0.46948941469489414,0.835920177383592,426,377,74
0.44,0.4856770833333333,0.8288888888888889,395,373,77
0.46,0.4912043301759134,0.8102678571428571,376,363,85
0.48,0.5042492917847026,0.8,350,356,89
0.5,0.5212765957446809,0.7742663656884876,315,343,100
0.52,0.5383386581469649,0.759009009009009,289,337,107
0.54,0.5557432432432432,0.7426636568848759,263,329,114
0.56,0.5693693693693693,0.7133182844243793,239,316,127
0.58,0.5847953216374269,0.683371298405467,213,300,139
0.6,0.5847953216374269,0.683371298405467,213,300,139
0.62,0.6086021505376344,0.6388261851015802,182,283,160
0.64,0.6359223300970874,0.5861297539149888,150,262,185
0.66,0.667574931880109,0.5420353982300885,122,245,207
0.68,0.6737160120845922,0.49445676274944567,108,223,228
0.7000000000000001,0.6737160120845922,0.49445676274944567,108,223,228
0.72,0.6769759450171822,0.434878587196468,94,197,256
0.74,0.6923076923076923,0.38,76,171,279
0.76,0.6976744186046512,0.33407572383073497,65,150,299
0.78,0.6976744186046512,0.33407572383073497,65,150,299
0.8,0.6938775510204082,0.3022222222222222,60,136,314
0.8200000000000001,0.6709677419354839,0.23476297968397292,51,104,339
0.84,0.664179104477612,0.20227272727272727,45,89,351
0.86,0.6403508771929824,0.1662870159453303,41,73,366
0.88,0.6403508771929824,0.1662870159453303,41,73,366
0.9,0.6633663366336634,0.15227272727272728,34,67,373
0.92,0.6741573033707865,0.13636363636363635,29,60,380
0.9400000000000001,0.6741573033707865,0.13636363636363635,29,60,380
0.96,0.6206896551724138,0.08237986270022883,22,36,401
0.98,0.6,0.05466970387243736,16,24,415
