confidence,precision,recall,fp,tp,fn
0.0,0.07169149868536372,0.9088888888888889,5296,409,41
0.02,0.07169149868536372,0.9088888888888889,5296,409,41
0.04,0.07169149868536372,0.9088888888888889,5296,409,41
0.06,0.07169149868536372,0.9088888888888889,5296,409,41
0.08,0.07169149868536372,0.9088888888888889,5296,409,41
0.1,0.07169149868536372,0.9088888888888889,5296,409,41
0.12,0.07169149868536372,0.9088888888888889,5296,409,41
0.14,0.07204661840014127,0.9066666666666666,5255,408,42
0.16,0.07776079480320978,0.9024390243902439,4827,407,44
0.18,0.09716501090380422,0.8911111111111111,3726,401,49
0.2,0.11478260869565217,0.8761061946902655,3054,396,56
0.22,0.1335149863760218,0.8653421633554084,2544,392,61
0.24,0.14836003051106025,0.8549450549450549,2233,389,66
0.26,0.16820377689942909,0.8436123348017621,1894,383,71
0.28,0.18029650884744142,0.8267543859649122,1714,377,79
0.3,0.19472295514511873,0.8056768558951966,1526,369,89
0.32,0.21492537313432836,0.7894736842105263,1315,360,96
0.34,0.24159231297185998,0.7736263736263737,1105,352,103
0.36,0.26692307692307693,0.7609649122807017,953,347,109
0.38,0.3116883116883117,0.7336244541484717,742,336,122
0.4,0.3569060773480663,0.7037037037037037,582,323,136
0.42,0.3842424242424242,0.690631808278867,508,317,142
0.44,0.42097902097902096,0.6644591611479028,414,301,152
0.46,0.44869831546707506,0.6482300884955752,360,293,159
0.48,0.48596491228070177,0.6155555555555555,293,277,173
0.5,0.4925373134328358,0.5906040268456376,272,264,183
0.52,0.488,0.5532879818594104,256,244,197
0.54,0.5180995475113123,0.5157657657657657,213,229,215
0.56,0.538083538083538,0.49435665914221216,188,219,224
0.58,0.5552486187845304,0.45372460496614,161,201,242
0.6,0.5705705705705706,0.4288939051918736,143,190,253
0.62,0.5750798722044729,0.40632054176072235,133,180,263
0.64,0.5836177474402731,0.3860045146726862,122,171,272
0.66,0.5662650602409639,0.3190045248868778,108,141,301
0.68,0.5648535564853556,0.30612244897959184,104,135,306
0.7000000000000001,0.5852534562211982,0.28603603603603606,90,127,317
0.72,0.5846153846153846,0.25968109339407747,81,114,325
0.74,0.5873015873015873,0.25227272727272726,78,111,329
0.76,0.5932203389830508,0.23863636363636365,72,105,335
0.78,0.5963855421686747,0.22448979591836735,67,99,342
0.8,0.6030534351145038,0.17954545454545454,52,79,361
0.8200000000000001,0.5882352941176471,0.15945330296127563,49,70,369
0.84,0.5871559633027523,0.14645308924485126,45,64,373
0.86,0.6041666666666666,0.1324200913242009,38,58,380
0.88,0.6329113924050633,0.11389521640091116,29,50,389
0.9,0.6527777777777778,0.10681818181818181,25,47,393
0.92,0.6379310344827587,0.08409090909090909,21,37,403
0.9400000000000001,0.6538461538461539,0.07709750566893424,18,34,407
0.96,0.6222222222222222,0.06407322654462243,17,28,409
0.98,0.5714285714285714,0.0367816091954023,12,16,419
