confidence,precision,recall,fp,tp,fn
0.0,0.02453591606133979,0.34545454545454546,6043,152,288
0.02,0.02453591606133979,0.34545454545454546,6043,152,288
0.04,0.035291386115625725,0.34545454545454546,4155,152,288
0.06,0.052251632863526985,0.34545454545454546,2757,152,288
0.08,0.06654991243432574,0.34545454545454546,2132,152,288
0.1,0.08012651555086979,0.34545454545454546,1745,152,288
0.12,0.09857328145265888,0.34545454545454546,1390,152,288
0.14,0.11070648215586307,0.34545454545454546,1221,152,288
0.16,0.127838519764508,0.34545454545454546,1037,152,288
0.18,0.1464354527938343,0.34545454545454546,886,152,288
0.2,0.15139442231075698,0.34545454545454546,852,152,288
0.22,0.16703296703296702,0.34467120181405897,758,152,289
0.24,0.17062146892655367,0.3416289592760181,734,151,291
0.26,0.176196032672112,0.34085778781038373,706,151,292
0.28,0.18094089264173704,0.33707865168539325,679,150,295
0.3,0.18625,0.3348314606741573,651,149,296
0.32,0.18702290076335878,0.3303370786516854,639,147,298
0.34,0.19090909090909092,0.3303370786516854,623,147,298
0.36,0.19591836734693877,0.3235955056179775,591,144,301
0.38,0.19889502762430938,0.3235955056179775,580,144,301
0.4,0.2034139402560455,0.32207207207207206,560,143,301
0.42,0.20950965824665677,0.31756756756756754,532,141,303
0.44,0.21374045801526717,0.3153153153153153,515,140,304
0.46,0.21855345911949686,0.3130630630630631,497,139,305
0.48,0.22419354838709676,0.3130630630630631,481,139,305
0.5,0.23620689655172414,0.30855855855855857,443,137,307
0.52,0.24684684684684685,0.30786516853932583,418,137,308
0.54,0.2644787644787645,0.3071748878923767,381,137,309
0.56,0.27459016393442626,0.3004484304932735,354,134,312
0.58,0.2929061784897025,0.2876404494382023,309,128,317
0.6,0.2929061784897025,0.2876404494382023,309,128,317
0.62,0.30730478589420657,0.2747747747747748,275,122,322
0.64,0.3242506811989101,0.26741573033707866,248,119,326
0.66,0.34023668639053256,0.257847533632287,223,115,331
0.68,0.3538961038961039,0.24439461883408073,199,109,337
0.7000000000000001,0.3538961038961039,0.24439461883408073,199,109,337
0.72,0.3814814814814815,0.23198198198198197,167,103,341
0.74,0.3924050632911392,0.20898876404494382,144,93,352
0.76,0.4146341463414634,0.1927437641723356,120,85,356
0.78,0.4146341463414634,0.1927437641723356,120,85,356
0.8,0.4175824175824176,0.17312072892938496,106,76,363
0.8200000000000001,0.4657534246575342,0.15384615384615385,78,68,374
0.84,0.4728682170542636,0.1383219954648526,68,61,380
0.86,0.48148148148148145,0.11845102505694761,56,52,387
0.88,0.48148148148148145,0.11845102505694761,56,52,387
0.9,0.48863636363636365,0.09817351598173515,45,43,395
0.92,0.4666666666666667,0.08045977011494253,40,35,400
0.9400000000000001,0.4666666666666667,0.08045977011494253,40,35,400
0.96,0.4528301886792453,0.05517241379310345,29,24,411
0.98,0.4782608695652174,0.05034324942791762,24,22,415
